None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
118831,CAR1,MRY,1998-12-31,1998-03-31,1998-03-31,2019-06-07,24811000.0,693613000.0,689767500.0,319938000.0,373675000.0,0.964,10.454,-9795000.0,51661000.0,51661000.0,241189000.0,27301000.0,1.836,0.984,66741000.0,17854000.0,48887000.0,66741000.0,0.0,24736000.0,0.0,0.009,0.16,49063000.0,73799000.0,0.111,73799000.0,49063000.0,44755000.0,0.59,0.59,0.59,349650000.0,349402000.0,349650000.0,644291513.0,13.0,8.73,41344000.0,1.236,1.0,423867000.0,0.637,124542000.0,4308000.0,409928000.0,416743000.0,80970000.0,25826000.0,25826000.0,0.0,343963000.0,174223000.0,169740000.0,612505513.0,16537000.0,-5330000.0,-16685000.0,13075000.0,-7392000.0,-11002000.0,-22915000.0,-7790000.0,51139000.0,-685000.0,27301000.0,27301000.0,27301000.0,0.0,0.0,0.041,378673000.0,45194000.0,32506000.0,0.271,1.752,22.435,31.038,150223000.0,0.0,18.313,0.921,0.921,133011000.0,349815000.0,665056000.0,665056000.0,28785000.0,0.04,0.078,0.118,0.074,0.0,343700000.0,1.0,33447400.0,33447400.0,,19.884,569071000.0,98910000.0,17454000.0,17012000.0,17.014,145715000.0
118832,CAR1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-06-07,25307000.0,693895000.0,694963250.0,318855000.0,375040000.0,0.983,7.97,-14654000.0,59815000.0,59815000.0,255107000.0,29694000.0,2.042,0.931,60648000.0,7651000.0,52997000.0,60648000.0,0.0,27431000.0,0.0,0.01,0.2,53330000.0,80761000.0,0.118,80761000.0,53330000.0,48678000.0,0.65,0.65,0.65,359372000.0,355277750.0,359372000.0,657037094.0,12.0,8.136,65918000.0,1.462,1.0,428168000.0,0.627,124129000.0,4652000.0,414453000.0,423191000.0,81156000.0,31144000.0,31144000.0,0.0,334523000.0,156146000.0,178377000.0,648327094.0,39828000.0,-8963000.0,-11789000.0,8971000.0,-9064000.0,-11882000.0,-27886000.0,-4269000.0,80572000.0,-976000.0,29694000.0,29694000.0,29694000.0,0.0,0.0,0.043,378707000.0,49461000.0,31152000.0,0.308,1.804,21.834,30.288,148976000.0,0.0,19.688,0.949,1.299,115076000.0,365831000.0,683275000.0,683275000.0,27767000.0,0.043,0.084,0.126,0.078,0.0,344752000.0,1.0,32930900.0,45093000.0,,15.153,569766000.0,101935000.0,18984000.0,0.0,12.635,162709000.0
118833,CAR1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-06-07,26821000.0,696800000.0,687821250.0,323514000.0,373286000.0,0.975,7.873,-14541000.0,56936000.0,56936000.0,249049000.0,28674000.0,1.926,0.953,65646000.0,14503000.0,51143000.0,65646000.0,0.0,25880000.0,0.0,0.011,0.18,51295000.0,77175000.0,0.115,77175000.0,51295000.0,46623000.0,0.63,0.63,0.63,356778000.0,353824500.0,356778000.0,572869675.0,11.0,7.423,59009000.0,1.302,1.0,421313000.0,0.628,124787000.0,4672000.0,412780000.0,426048000.0,78836000.0,29131000.0,29131000.0,0.0,340022000.0,167943000.0,172079000.0,517417675.0,22481000.0,-8963000.0,-18085000.0,13125000.0,-8218000.0,-13178000.0,-34648000.0,-11144000.0,73550000.0,-3243000.0,28674000.0,28674000.0,28674000.0,0.0,0.0,0.043,373887000.0,47426000.0,36335000.0,0.286,1.45,18.045,24.901,148674000.0,0.0,15.688,0.772,1.06,128318000.0,360691000.0,670362000.0,670362000.0,27612000.0,0.042,0.081,0.12,0.077,0.0,340087000.0,1.0,32982800.0,45314000.0,,14.794,572013000.0,99825000.0,17949000.0,0.0,12.623,155571000.0
118834,CAR1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-06-07,26002000.0,695545000.0,,319585000.0,375960000.0,,7.836,-14448000.0,11068000.0,11068000.0,244622000.0,27484000.0,1.89,0.958,66520000.0,17792000.0,48728000.0,66520000.0,0.0,25039000.0,0.0,0.009,0.16,49294000.0,74333000.0,0.112,74333000.0,49294000.0,44800000.0,0.6,0.6,0.6,355311000.0,,355311000.0,614892838.0,12.0,8.272,22962000.0,0.506,1.0,421642000.0,0.633,126284000.0,4494000.0,455603000.0,,81230000.0,40016000.0,40016000.0,0.0,340234000.0,169110000.0,171124000.0,599812838.0,-27853000.0,-8963000.0,-17175000.0,13038000.0,-7351000.0,-11488000.0,-51974000.0,-28563000.0,37410000.0,-1801000.0,27484000.0,27484000.0,27484000.0,0.0,0.0,0.041,376217000.0,45425000.0,36796000.0,0.267,1.688,21.824,30.313,148757000.0,0.0,18.188,0.9,1.238,154168000.0,357495000.0,666264000.0,666264000.0,29246000.0,,,,0.074,0.0,340783000.0,1.0,32979400.0,45343000.0,,14.694,569261000.0,100919000.0,17316000.0,0.0,12.555,150475000.0
118835,CAR1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-06-07,24811000.0,693613000.0,689767500.0,319938000.0,373675000.0,0.964,10.454,-9795000.0,51661000.0,51661000.0,241189000.0,27301000.0,1.836,0.984,66741000.0,17854000.0,48887000.0,66741000.0,0.0,24736000.0,0.0,0.009,0.16,49063000.0,73799000.0,0.111,73799000.0,49063000.0,44755000.0,0.59,0.59,0.59,349650000.0,349402000.0,349650000.0,644291513.0,13.0,8.73,41344000.0,1.236,1.0,423867000.0,0.637,124542000.0,4308000.0,409928000.0,416743000.0,80970000.0,25826000.0,25826000.0,0.0,343963000.0,174223000.0,169740000.0,612505513.0,16537000.0,-5330000.0,-16685000.0,13075000.0,-7392000.0,-11002000.0,-22915000.0,-7790000.0,51139000.0,-685000.0,27301000.0,27301000.0,27301000.0,0.0,0.0,0.041,378673000.0,45194000.0,32506000.0,0.271,1.752,22.435,31.038,150223000.0,0.0,18.313,0.921,0.921,133011000.0,349815000.0,665056000.0,665056000.0,28785000.0,0.04,0.078,0.118,0.074,0.0,343700000.0,1.0,33447400.0,33447400.0,,19.884,569071000.0,98910000.0,17454000.0,17012000.0,17.014,145715000.0
118836,CAR1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-06-07,25307000.0,693895000.0,,318855000.0,375040000.0,,7.97,-4237000.0,59815000.0,59815000.0,62724000.0,7839000.0,2.042,0.931,60648000.0,7651000.0,52997000.0,60648000.0,0.0,7652000.0,0.0,0.01,0.06,13948000.0,21600000.0,0.129,21600000.0,13948000.0,12850000.0,0.17,0.17,0.17,359372000.0,,359372000.0,657037094.0,12.0,8.136,11176000.0,0.248,1.0,104771000.0,0.626,124129000.0,1098000.0,414453000.0,,81156000.0,31144000.0,31144000.0,0.0,334523000.0,156146000.0,178377000.0,648327094.0,2879000.0,0.0,-2185000.0,-4535000.0,-2699000.0,-9419000.0,-5150000.0,-913000.0,15413000.0,2035000.0,7839000.0,7839000.0,7839000.0,0.0,0.0,0.047,90823000.0,13948000.0,31152000.0,0.353,1.804,21.834,30.288,148976000.0,0.0,19.688,0.949,1.299,115076000.0,365831000.0,167495000.0,167495000.0,6416000.0,,,,,0.0,84407000.0,1.0,32930900.0,45093000.0,45093000.0,3.714,569766000.0,101935000.0,5011000.0,0.0,12.635,162709000.0
118837,CAR1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-06-07,26821000.0,696800000.0,,323514000.0,373286000.0,,7.873,-4230000.0,56936000.0,56936000.0,66767000.0,5916000.0,1.926,0.953,65646000.0,14503000.0,51143000.0,65646000.0,0.0,6876000.0,0.0,0.011,0.06,10991000.0,17867000.0,0.103,17867000.0,10991000.0,9699000.0,0.13,0.13,0.13,356778000.0,,356778000.0,572869675.0,11.0,7.423,42039000.0,0.928,1.0,107242000.0,0.616,124787000.0,1292000.0,412780000.0,,78836000.0,29131000.0,29131000.0,0.0,340022000.0,167943000.0,172079000.0,517417675.0,45868000.0,0.0,-910000.0,-1201000.0,-2720000.0,-4831000.0,6154000.0,10384000.0,46269000.0,-1724000.0,5916000.0,5916000.0,5916000.0,0.0,0.0,0.034,96251000.0,10991000.0,36335000.0,0.462,1.45,18.045,24.901,148674000.0,0.0,15.688,0.772,1.06,128318000.0,360691000.0,174009000.0,174009000.0,6289000.0,,,,,0.0,89962000.0,1.0,32982800.0,45314000.0,45314000.0,3.84,572013000.0,99825000.0,3783000.0,0.0,12.623,155571000.0
118838,CAR1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-06-07,26002000.0,695545000.0,,319585000.0,375960000.0,,7.836,-2512000.0,11068000.0,11068000.0,63415000.0,9493000.0,1.89,0.958,66520000.0,17792000.0,48728000.0,66520000.0,0.0,6312000.0,0.0,0.009,0.04,16828000.0,23140000.0,0.134,23140000.0,16828000.0,15562000.0,0.21,0.21,0.21,355311000.0,,355311000.0,614892838.0,12.0,8.272,-17331000.0,-0.382,1.0,109331000.0,0.633,126284000.0,1266000.0,455603000.0,,81230000.0,40016000.0,40016000.0,0.0,340234000.0,169110000.0,171124000.0,599812838.0,-40593000.0,-3633000.0,-1286000.0,-552000.0,-1813000.0,-3651000.0,-20934000.0,-14789000.0,-14819000.0,-1189000.0,9493000.0,9493000.0,9493000.0,0.0,0.0,0.055,92503000.0,16828000.0,36796000.0,0.19,1.688,21.824,30.313,148757000.0,0.0,18.188,0.9,1.238,154168000.0,357495000.0,172746000.0,172746000.0,6688000.0,,,,,0.0,85815000.0,1.0,32979400.0,45343000.0,45343000.0,3.81,569261000.0,100919000.0,6069000.0,0.0,12.555,150475000.0
118839,CAR1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-06-07,24811000.0,693613000.0,,319938000.0,373675000.0,,10.454,-3675000.0,51661000.0,51661000.0,62201000.0,6446000.0,1.836,0.984,66741000.0,17854000.0,48887000.0,66741000.0,0.0,6591000.0,0.0,0.009,0.04,11563000.0,18154000.0,0.107,18154000.0,11563000.0,10567000.0,0.14,0.14,0.14,349650000.0,,349650000.0,644291513.0,13.0,8.73,30034000.0,0.898,1.0,106824000.0,0.632,124542000.0,996000.0,409928000.0,,80970000.0,25826000.0,25826000.0,0.0,343963000.0,174223000.0,169740000.0,612505513.0,31674000.0,-5330000.0,-7408000.0,15259000.0,-1832000.0,6019000.0,-7956000.0,1049000.0,33709000.0,-98000.0,6446000.0,6446000.0,6446000.0,0.0,0.0,0.038,99130000.0,7694000.0,32506000.0,0.286,1.752,22.435,31.038,150223000.0,0.0,18.313,0.921,0.921,133011000.0,349815000.0,169025000.0,169025000.0,8374000.0,,,,,0.0,84568000.0,1.0,33447400.0,33447400.0,,5.053,569071000.0,98910000.0,4121000.0,17012000.0,17.014,145715000.0
118840,CAR1,ARY,1998-12-31,1998-06-19,1998-03-31,2019-06-07,24811000.0,693613000.0,,319938000.0,373675000.0,,10.602,-9795000.0,51661000.0,51661000.0,241189000.0,27301000.0,1.836,0.984,66741000.0,17854000.0,48887000.0,66741000.0,0.0,24736000.0,0.0,0.009,0.16,49063000.0,73799000.0,0.11,73799000.0,49063000.0,44755000.0,0.59,0.59,0.59,349650000.0,,349650000.0,606647988.0,12.0,8.22,41344000.0,1.254,1.0,427736000.0,0.639,124542000.0,4308000.0,409928000.0,,80970000.0,25826000.0,25826000.0,0.0,343963000.0,174223000.0,169740000.0,591567988.0,16537000.0,-5330000.0,-16685000.0,13075000.0,-7392000.0,-11002000.0,-22915000.0,-7790000.0,51139000.0,-685000.0,27301000.0,27301000.0,27301000.0,0.0,0.0,0.041,372485000.0,55251000.0,32506000.0,0.271,1.692,21.668,30.403,150223000.0,0.0,17.938,0.884,0.884,133011000.0,349815000.0,668925000.0,668925000.0,28785000.0,,,,0.073,0.0,343700000.0,1.0,32979400.0,32979400.0,,20.283,569071000.0,58492000.0,17454000.0,17012000.0,17.255,145715000.0
